Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0xedb7c8903bd013ec59959192b23099c47f9cabaf","","500","12.9366%",""
"2","0x89e7c6c96f35310ec7a4d0ea6ba5cc48a5d19a65","","450","11.6429%",""
"3","0x870a63d0d21800365257eadf4cc87c9671ec0f89","","330","8.5382%",""
"4","0x5ddcbd1e5422230d12902b7efcf4a641b1f2d195","","310","8.0207%",""
"5","0xf1db023ebce20305808930881598128d01b03a51","","280","7.2445%",""
"6","0xe5f0939984009ab5fc0a905cd424f009f34502d3","","230","5.9508%",""
"7","0xdf4793f38712862e21095b35392cf2326dfc962b","","170","4.3984%",""
"8","0xf8a83ff7803652dbe76222b88d41aefb40df88ac","","160","4.1397%",""
"9","0x59fecf2c999fe43e021884691f85b3682dbce372","","150","3.8810%",""
"10","0x2e6bb9bd26f4c0c841f23e5d65b4375364493100","","140","3.6223%",""
"11","0xe7edf84cede0a3b20e02a3b540312716ebe1a744","","130","3.3635%",""
"12","0x08d0d1572a8a714d90d670ea344dd23b1df565dd","","120","3.1048%",""
"13","0x9fbc2a0de6e5c5fd96e8d11541608f5f328c0785","faucetdrops.eth","120","3.1048%",""
"14","0x7d24ce2686a734419483e171ab3634cb113f92a1","","90","2.3286%",""
"15","0xa4d0349ddeffee42afb019105cb55912f7b8e848","","80","2.0699%",""
"16","0x9d22beccb8fbb4325ce5c0ed94542a7fb8682f6e","","70","1.8111%",""
"17","0xa3f37aa708571d5844a2fc0ab8358112e6169842","","70","1.8111%",""
"18","0x7811d69e8f3a0e02370a339a0e119399a2f05a1d","","60","1.5524%",""
"19","0x0d616bab8bf99af9179ea36246e98db057df6c2a","","40","1.0349%",""
"20","0x3dee68fe24ac1c06aecc35eba816ce8efc85ba14","","30","0.7762%",""
"21","0x41a36d39004b87710adcdac19522095ee7855534","","30","0.7762%",""
"22","0x5bcb395c2a0afdd0049b65182fe5330a43150b19","","30","0.7762%",""
"23","0x95739c851b97f0b3e501635746ef407191b67fec","","30","0.7762%",""
"24","0xc459b6da6b375f2270413f1496f0eb5b4e2ab204","","30","0.7762%",""
"25","0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a","johnadek.eth","30","0.7762%",""
"26","0xb59666bd890011166b6c01dec293e3f7623ae738","","25","0.6468%",""
"27","0x3207d4728c32391405c7122e59ccb115a4af31ea","","20","0.5175%",""
"28","0x363878ddc13bbff36100b16335727b44cc2c3390","","20","0.5175%",""
"29","0xd37089671516b5cf37075910a9681b5a02223258","","20","0.5175%",""
"30","0x4ad271c54a88aeb0fbb5ddc57c1f63ed99d24fc1","","10","0.2587%",""
"31","0x595e0522379713e00572e7394fedecf5b549ef51","","10","0.2587%",""
"32","0x6cac76f9e8d6f55b3823d8aeadead970a5441b67","","10","0.2587%",""
"33","0x8b2d53b155d3553c031bdbb8d46557b5c78a8be1","","10","0.2587%",""
"34","0x9e73f63db077753466689025a42a0c0d43aee108","","10","0.2587%",""
"35","0xb13bb8b53d4b70748158f3770d46da70a228f5e7","","10","0.2587%",""
"36","0x807d1f1d46f4184a2c99d32ce84f7e1151e3acbc","","10","0.2587%",""
"37","0xe961066d859d4922b51269801cd26a2351c4f1e3","nikkytos.eth","10","0.2587%",""
"38","0x70ae80d576083f9c7a8d0b5f3a6a9c783b412db5","","10","0.2587%",""
"39","0x08cc7af66c296b6cb5972e53fddcc131f166471c","","10","0.2587%",""